,bbox,text,conf,time_s,current_frame
130,"[[12, 8], [36, 8], [36, 34], [12, 34]]",0,0.9999687674100102,2.7333333333333334,82
131,"[[60, 8], [128, 8], [128, 34], [60, 34]]",00.58,0.9988263612941575,2.7333333333333334,82
132,"[[60, 8], [126, 8], [126, 34], [60, 34]]",00.57,0.9995920999526882,2.7666666666666666,83
133,"[[60, 8], [128, 8], [128, 34], [60, 34]]",00.56,0.9992513062845925,2.8,84
134,"[[60, 8], [128, 8], [128, 34], [60, 34]]",00.55,0.9980661523806793,2.8333333333333335,85
135,"[[60, 8], [128, 8], [128, 34], [60, 34]]",00.54,0.9995286020470564,2.8666666666666667,86
136,"[[60, 8], [128, 8], [128, 34], [60, 34]]",00.53,0.9995643763244887,2.9,87
137,"[[17, 11], [33, 11], [33, 33], [17, 33]]",1,0.9948742676278108,4.066666666666666,122
138,"[[60, 8], [128, 8], [128, 34], [60, 34]]",00.19,0.685783715101206,4.066666666666666,122
139,"[[60, 10], [126, 10], [126, 34], [60, 34]]",00.19,0.4040870048692595,4.1,123
140,"[[60, 10], [126, 10], [126, 34], [60, 34]]",00:17,0.6043555273424169,4.133333333333334,124
141,"[[60, 10], [126, 10], [126, 34], [60, 34]]",00.16,0.5430499488935684,4.166666666666667,125
142,"[[13, 9], [33, 9], [33, 31], [13, 31]]",1,0.998371787576616,4.2,126
143,"[[60, 8], [126, 8], [126, 34], [60, 34]]",00.15,0.3825896274683237,4.2,126
144,"[[60, 10], [128, 10], [128, 34], [60, 34]]",00:14,0.5242577607590133,4.233333333333333,127
145,"[[60, 10], [126, 10], [126, 34], [60, 34]]",00.13,0.5993382443367583,4.266666666666667,128
146,"[[60, 10], [128, 10], [128, 34], [60, 34]]",00:12,0.7766576407777672,4.3,129
147,"[[60, 10], [124, 10], [124, 34], [60, 34]]",00:11,0.7658831583145516,4.333333333333333,130
148,"[[60, 10], [128, 10], [128, 34], [60, 34]]",00:10,0.8892556251826199,4.366666666666666,131
149,"[[60, 8], [126, 8], [126, 34], [60, 34]]",00.09,0.9349150964141072,4.4,132
150,"[[60, 8], [128, 8], [128, 34], [60, 34]]",00.08,0.9428810786592648,4.433333333333334,133
151,"[[60, 10], [126, 10], [126, 34], [60, 34]]",00.07,0.8312284695025136,4.466666666666667,134
152,"[[60, 8], [128, 8], [128, 34], [60, 34]]",00.06,0.9207639281736281,4.5,135
153,"[[60, 8], [126, 8], [126, 34], [60, 34]]",00.05,0.9121000112811865,4.533333333333333,136
154,"[[60, 10], [128, 10], [128, 34], [60, 34]]",00.04,0.6750548471162361,4.566666666666666,137
155,"[[60, 8], [126, 8], [126, 34], [60, 34]]",00.03,0.8884937783637196,4.6,138
156,"[[60, 8], [126, 8], [126, 34], [60, 34]]",00.02,0.6989971805734345,4.633333333333334,139
157,"[[60, 8], [124, 8], [124, 34], [60, 34]]",00.01,0.661810630776286,4.666666666666667,140
158,"[[60, 8], [128, 8], [128, 34], [60, 34]]",00.00,0.33271555903960215,4.7,141
159,"[[60, 8], [126, 8], [126, 34], [60, 34]]",02.04,0.9992927332810618,4.733333333333333,142
160,"[[60, 8], [128, 8], [128, 34], [60, 34]]",02.03,0.9985388581773745,4.766666666666667,143
161,"[[60, 8], [128, 8], [128, 34], [60, 34]]",02.02,0.9983175189101341,4.8,144
162,"[[15, 9], [33, 9], [33, 33], [15, 33]]",1,0.9996923444902883,4.833333333333333,145
163,"[[60, 8], [126, 8], [126, 34], [60, 34]]",02.01,0.9968112875496432,4.833333333333333,145
164,"[[60, 8], [128, 8], [128, 34], [60, 34]]",02.00,0.9952205072875918,4.866666666666666,146
165,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.59,0.9981780791297634,4.9,147
166,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.58,0.9955421544454962,4.933333333333334,148
167,"[[17, 9], [33, 9], [33, 33], [17, 33]]",1,0.9997484842160844,4.966666666666667,149
168,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.57,0.7458364596310314,4.966666666666667,149
169,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.56,0.9932774547134153,5.0,150
170,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.55,0.9989897836929151,5.033333333333333,151
171,"[[17, 9], [33, 9], [33, 33], [17, 33]]",1,0.9996797102894597,5.066666666666666,152
172,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.54,0.9915175332179852,5.066666666666666,152
173,"[[17, 9], [33, 9], [33, 31], [17, 31]]",1,0.9944480446722679,5.1,153
174,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.53,0.9905616467191117,5.1,153
175,"[[17, 9], [33, 9], [33, 33], [17, 33]]",1,0.9996614742724432,5.133333333333334,154
176,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.52,0.9835672437638443,5.133333333333334,154
177,"[[17, 9], [33, 9], [33, 33], [17, 33]]",1,0.9996101044259298,5.166666666666667,155
178,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.51,0.6916581277577545,5.166666666666667,155
179,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.50,0.9786876687978919,5.2,156
180,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.49,0.6084264779482059,5.233333333333333,157
181,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.48,0.8693712219106177,5.266666666666667,158
182,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.47,0.9403378904375634,5.3,159
183,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.46,0.5404484526446255,5.333333333333333,160
184,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.45,0.8541629049961281,5.366666666666666,161
185,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.44,0.8929819074284768,5.4,162
186,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.43,0.7052279253757509,5.433333333333334,163
187,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.42,0.6130789689259024,5.466666666666667,164
188,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.41,0.9733720645804811,5.5,165
189,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.40,0.9027814826896164,5.533333333333333,166
190,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.39,0.5100346833269651,5.566666666666666,167
191,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.38,0.7081975464556934,5.6,168
192,"[[15, 9], [35, 9], [35, 33], [15, 33]]",1,0.9996831668081683,5.633333333333334,169
193,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.37,0.7760771042573452,5.633333333333334,169
194,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.36,0.5649416090568748,5.666666666666667,170
195,"[[152, 6], [176, 6], [176, 34], [152, 34]]",0,0.9751927654667466,5.666666666666667,170
196,"[[13, 9], [33, 9], [33, 33], [13, 33]]",1,0.9995302513687854,5.7,171
197,"[[60, 8], [128, 8], [128, 34], [60, 34]]","01,.35",0.5404650655008315,5.7,171
198,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.34,0.38112394616119916,5.733333333333333,172
199,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.33,0.48870640125850595,5.766666666666667,173
200,"[[17, 9], [35, 9], [35, 31], [17, 31]]",1,0.9408054700753752,5.8,174
201,"[[60, 8], [128, 8], [128, 34], [60, 34]]","01,.32",0.3404698724852027,5.8,174
202,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.31,0.943834876060324,5.833333333333333,175
203,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.30,0.5693177032193519,5.866666666666666,176
204,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.29,0.5209159756737645,5.9,177
205,"[[152, 6], [176, 6], [176, 34], [152, 34]]",0,0.9999828339359738,5.9,177
206,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.28,0.6972080024565577,5.933333333333334,178
207,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.27,0.6980363685643437,5.966666666666667,179
208,"[[17, 11], [33, 11], [33, 33], [17, 33]]",1,0.9981447726279526,6.0,180
209,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.26,0.7801073812178199,6.0,180
210,"[[17, 11], [31, 11], [31, 33], [17, 33]]",1,0.9989717267222318,6.033333333333333,181
211,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.25,0.6426310551382765,6.033333333333333,181
212,"[[17, 11], [33, 11], [33, 33], [17, 33]]",1,0.9954418743948281,6.066666666666666,182
213,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.24,0.9081204730204562,6.066666666666666,182
214,"[[17, 9], [33, 9], [33, 33], [17, 33]]",1,0.999934197554694,6.1,183
